Callsign	WWLoc	UTC	Corresp	Sent	Recvd	nWWLoc	Mode	Band	QRB	Pnt	nWWLoc	Remark	
LY2R	KO15VS	1847	ES1ATE	59	59	KO29SK	SSB	144	0	0		NoWWL KO29JK	
LY2R	KO15VS	1847	ES2AFF	55	55	KO29EE	SSB	1296	382	382		ScoredNoLog	
LY2R	KO15VS	1847	SP2DDV	599	559	JO83VE	CW	432	483	483	JO83	ScoredNoLog	
LY2R	KO15VS	1850	ES2AFF	59	59	KO29EE	SSB	432	382	382		ScoredNoLog	
LY2R	KO15VS	1850	OH4MVH	559	529	KP32PG	CW	144	750	750	KP32	ScoredNoLog	
LY2R	KO15VS	1853	ES0FX	559	559	KO08XL	CW	1296	321	321	KO08	ScoredNoLog	
LY2R	KO15VS	1853	OH6VV	559	559	KP22WG	CW	144	733	733	KP22	ScoredNoLog	
LY2R	KO15VS	1854	SM0RJV	559	559	JO89VJ	CW	1296	539	539	JO89	ScoredNoLog	
LY2R	KO15VS	1856	ES2PRM	59	59	KO29GG	CW	144	392	392		ScoredNoLog	
LY2R	KO15VS	1905	SK0CT	559	559	JO99BM	CW	432	536	536		ScoredNoLog	
LY2R	KO15VS	1910	SK0EN	599	599	JO99JX	CW	144	554	554		ScoredNoLog	
LY2R	KO15VS	1910	SM0EZZ	599	579	JO89XG	CW	144	522	522	JO89	ScoredNoLog	
LY2R	KO15VS	1910	YL2AJ	599	599	KO16OX	CW	1296	140	140	KO16		
LY2R	KO15VS	1912	SM4HFI	559	559	JP70TO	CW	432	719	719	JP70	ScoredNoLog	
LY2R	KO15VS	1917	SM0BSO	559	559	JO99BG	CW	144	516	516		ScoredNoLog	
LY2R	KO15VS	1919	SP2EXY	559	559	KO00RV	CW	1296	564	564	KO00	ScoredNoLog	
LY2R	KO15VS	1921	SM7DTE	559	559	JO75CN	CW	144	602	602	JO75	ScoredNoLog	
LY2R	KO15VS	1923	SM7LCB	559	559	JO86GH	CW	432	455	455	JO86	ScoredNoLog	
LY2R	KO15VS	1929	YL2AJ	599	599	KO16OX	CW	432	140	140			
LY2R	KO15VS	1930	OH1ND	559	559	KP00XL	CW	144	535	535		ScoredNoLog	
LY2R	KO15VS	1944	OH0A	55	55	KP00AF	SSB	432	543	543	KP00	ScoredNoLog	
LY2R	KO15VS	1946	SM0BSO	559	559	JO99BG	CW	432	516	516		ScoredNoLog	
LY2R	KO15VS	1948	YL2QV	599	599	KO26WM	CW	144	154	154			
LY2R	KO15VS	1949	SM7LCB	559	559	JO86GH	CW	1296	455	455	JO86	ScoredNoLog	
LY2R	KO15VS	1951	SP2CNW	559	599	JO93AI	CW	144	458	458	JO93	ScoredNoLog	
